GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.Services.Universite,UniversiteService,46,0,2,0,11,0,7,0,6,0
Foyer,tn.esprit.spring.Config,SpringDocConfig,164,0,0,0,44,0,11,0,11,0
Foyer,tn.esprit.spring.Services.Foyer,FoyerService,117,46,5,1,24,10,7,6,4,6
Foyer,tn.esprit.spring.Services.Chambre,ChambreService,420,0,42,0,79,0,43,0,20,0
Foyer,tn.esprit.spring.Services.Bloc,BlocService,191,0,12,0,42,0,15,0,9,0
Foyer,tn.esprit.spring.AOP,FoyerAspect,33,0,0,0,10,0,5,0,5,0
Foyer,tn.esprit.spring.DAO.Entities,Bloc,70,0,0,0,10,0,13,0,13,0
Foyer,tn.esprit.spring.DAO.Entities,Foyer,48,22,0,0,5,5,8,5,8,5
Foyer,tn.esprit.spring.DAO.Entities,Chambre,70,0,0,0,10,0,13,0,13,0
Foyer,tn.esprit.spring.DAO.Entities,Etudiant.EtudiantBuilder,72,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.DAO.Entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Etudiant,71,19,0,0,8,4,13,4,13,4
Foyer,tn.esprit.spring.DAO.Entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.DAO.Entities,TypeChambre,21,0,0,0,2,0,1,0,1,0
Foyer,tn.esprit.spring.DAO.Entities,Bloc.BlocBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.DAO.Entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.DAO.Entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Universite,50,0,0,0,8,0,11,0,11,0
Foyer,tn.esprit.spring.DAO.Entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.Services.Reservation,ReservationService,347,0,20,0,70,0,23,0,12,0
Foyer,tn.esprit.spring.Schedular,Schedular,3,0,0,0,1,0,1,0,1,0
Foyer,tn.esprit.spring.Schedular,test,7,0,0,0,2,0,2,0,2,0
Foyer,tn.esprit.spring.Services.Etudiant,EtudiantService,46,0,2,0,11,0,7,0,6,0
Foyer,tn.esprit.spring,FoyerApplication,8,0,0,0,3,0,2,0,2,0
Foyer,tn.esprit.spring.RestControllers,EtudiantRestController,0,30,0,0,0,8,0,6,0,6
Foyer,tn.esprit.spring.RestControllers,ChambreRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.RestControllers,UniversiteRestController,30,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.RestControllers,BlocRestController,42,0,0,0,10,0,8,0,8,0
Foyer,tn.esprit.spring.RestControllers,ReservationRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.RestControllers,FoyerRestController,47,0,0,0,11,0,9,0,9,0
